"PointID"	"x"	"y"	"z"	"Density"	"Momentum_x"	"Momentum_y"	"Momentum_z"	"Energy"	"Grid_Velocity_x"	"Grid_Velocity_y"	"Grid_Velocity_z"	"Pressure"	"Temperature"	"Mach"	"Pressure_Coefficient"
49	2.494556442670293e-02	6.097932892379476e+00	-1.041131306339506e-03	9.946140582285218e-01	9.799018551185394e-01	1.999628270417778e-01	8.427015948130909e-02	3.056405028071969e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.020012242439803e+00	1.025535718102073e+00	8.421397519546782e-01	3.377707676175312e-02	
50	1.672582625958765e-02	6.097586917094905e+00	5.850099866859201e-10	1.005821392457596e+00	9.865564314090728e-01	1.130549689377260e-01	1.512894926161751e-01	3.087748656591650e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.034474672490389e+00	1.028487443444390e+00	8.322491322616828e-01	5.818706536995218e-02	
51	5.438298712143926e-02	6.098960562791585e+00	-3.251819703697857e-03	9.723258451844284e-01	9.833058451879354e-01	2.515009685538179e-01	6.501773285383773e-02	2.998498248433667e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.866372025779166e-01	1.014718684548361e+00	8.775853639233459e-01	-2.255400591088872e-02	
52	1.222708636542416e-01	6.100880318124997e+00	-7.875995118979354e-03	9.545849207106410e-01	9.854544180437093e-01	2.874447610931949e-01	7.140634595328628e-02	2.953152079526750e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.594170243103816e-01	1.005061994480432e+00	9.087426877073677e-01	-6.849678586554558e-02	
53	2.648699050560943e-01	6.104085400493749e+00	-1.634717570991339e-02	9.603735859162658e-01	1.012367240334549e+00	2.947172107236859e-01	7.403289602312438e-02	2.977821028695722e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.584634257525522e-01	9.980110238435065e-01	9.311051459339855e-01	-7.010628923752335e-02	
54	5.301313520475426e-01	6.108136319159803e+00	-2.767945017566867e-02	9.580395351484238e-01	1.037913897319218e+00	2.719741465414055e-01	7.832191497509421e-02	2.977184670698298e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.492618106263214e-01	9.908378264152299e-01	9.534266381105867e-01	-8.563696559154500e-02	
55	9.144400000026257e-01	6.110264308176007e+00	-3.379329542869166e-02	9.469202107763134e-01	1.051153675286946e+00	2.435712918684060e-01	9.730301331980867e-02	2.948124971643594e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.313476023031400e-01	9.835544660511507e-01	9.750018451941677e-01	-1.158729369714759e-01	
56	1.298748647957709e+00	6.108136319159728e+00	-2.767945019869932e-02	9.359207074965488e-01	1.055132697819554e+00	2.161512742812498e-01	1.246843363884769e-01	2.916467662525794e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.153750643128442e-01	9.780476668385070e-01	9.900146851800246e-01	-1.428317169983051e-01	
57	1.564010094949157e+00	6.104085400493620e+00	-1.634717574884053e-02	9.192295319988864e-01	1.042532474826405e+00	2.141794720584446e-01	1.676417852154885e-01	2.867672561192541e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.944986848481660e-01	9.730961133320611e-01	1.004204828507357e+00	-1.780673021061201e-01	
58	1.706609136351011e+00	6.100880318124839e+00	-7.875995166452045e-03	9.071312679887363e-01	1.013049247477693e+00	2.324472493986458e-01	2.116929480533659e-01	2.829089151054353e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.835757719519696e-01	9.740329797152807e-01	1.001330297622578e+00	-1.965032204429355e-01	
59	1.774497012883813e+00	6.098960562791417e+00	-3.251819755238902e-03	9.087585497179395e-01	9.963608461892958e-01	2.256333213587782e-01	2.455187844633037e-01	2.830070663995702e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.890759862731689e-01	9.783412618776685e-01	9.878978338434606e-01	-1.872198449345651e-01	
60	1.803934435578550e+00	6.097932892379307e+00	-1.041131359644667e-03	9.179209027600772e-01	9.967084579309690e-01	2.313857999956290e-01	2.629752522522728e-01	2.857280933057183e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.997273409413669e-01	9.801795974315386e-01	9.825031374608345e-01	-1.692422681924000e-01	
61	1.812154173745665e+00	6.097586917094730e+00	5.312122398204626e-10	9.288095643562008e-01	9.663073273286258e-01	1.657142883795081e-01	2.947474595153241e-01	2.876622270447685e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.249649399397216e-01	9.958606967843360e-01	9.334879223639728e-01	-1.266457265397623e-01	
62	1.803934435578550e+00	6.097932892379303e+00	1.041132422629213e-03	9.016840918805021e-01	9.419439673249279e-01	-2.127371137071240e-02	2.426206816544743e-01	2.785576232653436e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.042731893747438e-01	1.002871401988297e+00	9.106188800613257e-01	-1.615696911714425e-01	
63	1.774497012883814e+00	6.098960562791413e+00	3.251820820188025e-03	8.977354637689233e-01	9.629483220279204e-01	-1.330658250204624e-01	1.381845406674318e-01	2.777192622490989e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.960986446952407e-01	9.981767245032174e-01	9.252058706748386e-01	-1.753668567795695e-01	
64	1.706609136351014e+00	6.100880318124833e+00	7.875996235843978e-03	9.063624886866514e-01	9.898651518023774e-01	-2.112384901224181e-01	1.002674520043711e-01	2.811895178862954e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.964811308495384e-01	9.890977859736546e-01	9.536333479469047e-01	-1.747212887362639e-01	
65	1.564010094949164e+00	6.104085400493610e+00	1.634717682740323e-02	9.264059095537437e-01	1.029572646260915e+00	-2.230120969381834e-01	6.537508640104962e-02	2.879191249336780e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.111710971368272e-01	9.835549274245723e-01	9.709199727219303e-01	-1.499272597609587e-01	
66	1.298748647957719e+00	6.108136319159716e+00	2.767945129394865e-02	9.445347698669024e-01	1.057667194117438e+00	-1.797849074708756e-01	4.645124869243555e-02	2.935140422311984e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.298851205399582e-01	9.844900899423654e-01	9.683969636343450e-01	-1.183413439441699e-01	
67	9.144400000026370e-01	6.110264308175987e+00	3.379329654738679e-02	9.635857940145900e-01	1.069529490310152e+00	-1.108054642007022e-01	4.576230107547243e-02	2.989645912032435e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.554510493597506e-01	9.915578408218871e-01	9.479612891287459e-01	-7.519064042710209e-02	
